"Visitor.Unique.ID","Group.Type","Surveyor","Read.Available.Signage","Site.Name","Site.Type","Mode.of.Transport","Dwell.Time","Gender.Ratio.MtoF","Group.Size","totalActivities","totalimpacts","ObservableImpacts","prop.Act.HM","Prop.Imp.HM","Prop.Imp.HM.Binary.1","Prop.Imp.HM.Binary.2","highsImps","totalLowImp","Year.x","GlobalID","Length.Met","Year.y"
"114","Couple","Sadhbh Skehan","Yes","Mizen Head","Highly Managed","Motorbike", 54,1.00000000,  2,4,0,0,0.0000000,0.0000000,0,0,0,0,"2018","{F534BB36-17E5-4B4A-8531-BB9786A3C9BE}", 122.34,"2018"
"120","ElderlyCouple","Sadhbh Skehan","Yes","Dursey Sound","Cliff Site","Car",NA,0.50000000,  2,3,0,0,0.0000000,0.0000000,0,0,0,0,"2018","{485D35E7-606A-4444-A59B-4661A87E972A}", 341.52,"2018"
"126","ElderlyCouple","Sadhbh Skehan","Yes","Dursey Sound","Cliff Site","Car",191,0.50000000,  2,5,0,0,0.0000000,0.0000000,0,0,0,0,"2018","{3A4DE877-9073-41EE-95DA-FC430EAE54AD}", 214.61,"2018"
"24","Couple","Sadhbh Skehan","No","Blasket View","Cliff Site","Car",NA,0.50000000,  2,4,1,1,0.0000000,1.0000000,1,0,1,0,"2018","{49CCA023-2ECD-4AA8-9C27-702171410314}", 116.66,"2018"
"Bhioc1","Under18","Ishla O'Connor","NA","Blacksod Harbour","Built Infrastructure","ByFoot", 18,1.00000000,  1,3,2,1,0.0000000,0.5000000,1,1,1,1,"2019","64ed5c4f-c98e-400c-b05b-e4875a5aa2da", 331.25,"2019"
"Bhioc10","Couple","Ishla O'Connor","Yes","Blacksod Harbour","Built Infrastructure","other", 35,0.50000000,  2,2,0,0,0.0000000,0.0000000,0,0,0,0,"2019","50d913b4-3cea-473a-be9f-c1a51400d813", 348.24,"2019"
"Bhioc11","ElderlyCouple","Ishla O'Connor","No","Blacksod Harbour","Built Infrastructure","Car", 15,0.00000000,  2,3,0,0,0.0000000,0.0000000,0,0,0,0,"2019","1425e0d9-9064-43e7-8951-249ccedd57d1", 174.97,"2019"
"Bhioc12","SmallAdultGroup","Ishla O'Connor","No","Blacksod Harbour","Built Infrastructure","ByFoot", 20,0.33333333,  3,1,0,0,0.0000000,0.0000000,0,0,0,0,"2019","7cca4ed8-0dcb-48ad-b61c-4c6be9e848e1", 470.21,"2019"
"Bhioc13","Couple","Ishla O'Connor","Yes","Blacksod Harbour","Built Infrastructure","Car", 31,0.50000000,  2,1,0,0,0.0000000,0.0000000,0,0,0,0,"2019","1453591c-e7eb-4754-882d-da1dc2a6a35c", 180.19,"2019"
"Bhioc2","IndividualAdult","Ishla O'Connor","Yes","Blacksod Harbour","Built Infrastructure","Car",  7,1.00000000,  1,3,1,1,0.0000000,1.0000000,1,0,1,0,"2019","876c0a1b-49b4-46fa-8bf4-25bebb746b9b", 137.40,"2019"
